scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,1yr_return_rank,3yr_return_rank,5yr_return_rank,sortino_rank,alpha_rank,sd_rank,beta_rank,sharpe_rank,expense_rank
Nippon India Index Fund,100,5000,0.15,374,10,Mehul Dama,3.23,-1.01,16.9,1,1.28,6,Nippon India Mutual Fund,4,Other,Index Funds,1.5,25.6,13,203,534,534,494,81,643,632,374,751
Nippon India Index Fund,100,100,0.2,638,10,Mehul Dama,3.33,-1.48,16.64,0.99,1.26,6,Nippon India Mutual Fund,3,Other,Index Funds,0.9,26,11.9,164,554,462,533,63,614,610,354,714
Nippon India Large Cap Fund,100,100,1.01,12524,10,Sailesh Raj Bhan,3.01,2.97,17.74,1,1.44,6,Nippon India Mutual Fund,3,Equity,Large Cap Mutual Funds,8.4,29.5,12.6,731,642,507,431,515,682,632,513,210
Nippon India Liquid Fund,100,1000,0.2,25358,10,Anju Chhajer,4.53,1.5,0.39,0.83,1.01,2,Nippon India Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4,595,57,63,751,350,55,332,246,714
Nippon India Low Duration Fund,100,500,0.37,6232,10,Anju Chhajer,2.8,2.56,0.98,0.58,1.82,2,Nippon India Mutual Fund,4,Debt,Low Duration Funds,5.3,6.2,6.5,520,193,144,382,460,131,119,707,550
Nippon India Money Market Fund,100,500,0.21,10718,10,Anju Chhajer,5.44,2.79,0.56,1.21,2.11,3,Nippon India Mutual Fund,5,Debt,Money Market Funds,5.7,5.3,6.3,631,130,130,780,499,76,699,775,700
Nippon India Multi Cap Fund,100,100,1.12,14091,10,Sailesh Raj Bhan,3.33,6.54,19.22,0.99,1.55,6,Nippon India Mutual Fund,0,Equity,Multi Cap Funds,10.7,33.7,13.2,756,708,545,533,678,735,610,592,165
Nippon India Nifty Next 50 Junior BeES FoF-Dir Growth,100,100,0.02,148,4,Mehul Dama,1.75,-4.27,18.26,0.99,0.99,6,Nippon India Mutual Fund,2,Other,FoFs Domestic,-5.8,21.8,,32,439,407,198,27,704,610,232,812
Nippon India Overnight Fund,100,100,0.08,8861,4,Anju Chhajer,0.4,0.63,0.35,0.46,0.07,1,Nippon India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,47,218,15,61,34,795
Nippon India Pharma Fund,100,5000,1.17,4267,10,Sailesh Raj Bhan,2.09,2.71,20.6,0.95,0.99,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-7,24.7,15.6,21,503,619,237,489,758,550,232,154
Nippon India Power & Infra Fund,100,5000,1.58,1871,10,Sanjay Doshi,3.52,9.72,19.09,0.7,1.67,6,Nippon India Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,20.4,37.2,10.1,806,749,375,609,729,729,193,652,51
Nippon India Quant Fund,100,5000,0.54,34,10,Ashutosh Bhargava,2.91,2.11,14.96,0.84,1.47,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5,26.9,11.9,470,586,462,407,415,469,348,533,452
Nippon India Retirement Fund,500,500,0.85,172,8,Pranay Sinha,1.38,-0.72,4.79,0.61,0.76,4,Nippon India Mutual Fund,2,Solution Oriented,Retirement Funds,4,8.4,7.4,362,276,230,152,98,296,140,142,290
Nippon India Retirement Fund,500,500,1.03,2233,8,Pranay Sinha,3.35,-0.56,16.26,0.95,1.34,6,Nippon India Mutual Fund,1,Solution Oriented,Retirement Funds,1.3,25.3,6.7,194,527,157,542,113,572,550,428,201
Nippon India Short Term Fund,100,100,0.34,5147,10,Sushil Budhia,2.42,4.95,1.6,1.94,1.47,3,Nippon India Mutual Fund,4,Debt,Short Duration Funds,4.3,6.7,7.2,395,227,207,301,633,151,748,533,580
Nippon India Small Cap Fund,100,5000,0.86,23910,10,Samir Rachh,4.2,10.01,19.31,0.89,2.06,6,Nippon India Mutual Fund,4,Equity,Small Cap Mutual Funds,8.7,47.6,16.8,736,787,628,722,735,738,432,770,284
Nippon India Strategic Debt Fund,100,5000,1.4,151,9,Sushil Budhia,2.12,4.14,8.43,0.16,0.5,6,Nippon India Mutual Fund,2,Debt,Medium Duration Funds,2.7,8.3,-0.9,273,274,2,241,588,340,19,100,88
Nippon India Tax Saver (ELSS) Fund,500,500,1.18,11210,10,Rupesh Patel,2.75,0.53,17.25,0.98,1.37,6,Nippon India Mutual Fund,1,Equity,ELSS Mutual Funds,1.8,27.3,6.5,226,598,144,368,193,664,591,449,151
Nippon India US Equity Opportunities Fund,100,100,1.22,534,8,Kinjal Desai,1.33,-,19.57,-,0.67,6,Nippon India Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,1.7,32.4,13.3,213,679,550,148,407,741,407,128,130
Nippon India USD Fund,100,100,0.38,5114,10,Vivek Sharma,3.13,3.47,1.79,0.53,1.54,3,Nippon India Mutual Fund,5,Debt,Ultra Short Duration Funds,5.9,7,5.9,667,249,98,470,551,173,86,586,543
Nippon India Value Fund,100,500,1.21,4641,10,Meenakshi Dawar,3.34,4.25,16.97,0.97,1.54,6,Nippon India Mutual Fund,3,Equity,Value Funds,0,30.3,12.2,128,652,485,540,591,647,577,586,137
Nippon India Vision Fund,100,5000,1.55,3024,10,Amar Kalkundrikar,3.41,2.62,15.86,0.91,1.48,6,Nippon India Mutual Fund,1,Equity,Large & Mid Cap Funds,2.1,27.4,9.3,240,600,342,562,472,530,472,545,55
Parag Parikh Flexi Cap Fund,1000,1000,0.75,29953,10,Rajeev Thakkar,3.06,10.65,14.53,0.7,1.86,6,PPFAS Mutual Fund,5,Equity,Flexi Cap Funds,2.3,33.6,17.6,251,706,630,444,744,445,193,718,333
Parag Parikh Liquid Fund,1000,5000,0.17,1456,5,Raj Mehta,0.59,0.87,0.34,0.62,0.13,2,PPFAS Mutual Fund,1,Debt,Liquid Mutual Funds,5.3,4,,520,35,407,67,250,5,146,40,736
Parag Parikh Tax Saver Fund,1000,500,0.8,1147,4,Rajeev Thakkar,4.17,12.64,12.88,0.62,2.11,6,PPFAS Mutual Fund,5,Equity,ELSS Mutual Funds,8,33,,723,695,407,718,756,405,146,775,307
PGIM India Arbitrage Fund,1000,5000,0.33,168,9,Utkarsh Katkoria,0.85,1.06,0.7,0.41,0.73,1,PGIM India Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.3,4.5,5.2,520,70,41,92,275,98,31,138,590
PGIM India Banking&PSU Debt Fund,1000,5000,0.25,53,10,Puneet Pal,2.06,3.87,1.73,1.62,0.99,2,PGIM India Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.1,6.4,7.1,372,207,202,235,580,164,737,232,665
PGIM India Corporate Bond Fund,1000,5000,0.29,49,10,Puneet Pal,2.99,1.95,1.74,0.58,1.21,2,PGIM India Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.3,6.8,6.9,395,232,179,426,401,165,119,334,628
PGIM India Dynamic Bond Fund,1000,5000,0.36,135,10,Puneet Pal,0.89,1.08,1.93,0.85,0.68,2,PGIM India Mutual Fund,3,Debt,Dynamic Bond,4.6,5.7,7.4,428,159,230,97,278,186,364,130,560
PGIM India Elss Tax Saver Fund,500,500,1,451,7,Srinivas Rao Ravuri,3.32,4.67,16.01,0.92,1.64,6,PGIM India Mutual Fund,4,Equity,ELSS Mutual Funds,2.9,31.8,13.7,281,677,574,528,612,544,492,646,216
PGIM India Equity Savings Fund,1000,5000,0.42,143,10,Anandha Padmanabhan Anjen,4.61,4.09,4.51,0.6,1.86,2,PGIM India Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,4.3,12.6,8,395,328,279,758,587,291,131,718,511
PGIM India Flexi Cap Fund,1000,100,0.4,5199,8,Aniruddha Naha,3.13,5.27,17.81,0.99,1.6,6,PGIM India Mutual Fund,5,Equity,Flexi Cap Funds,-2.3,34,15.7,69,716,622,470,650,690,610,623,519
PGIM India GEO Fund,1000,5000,1.44,1336,10,Rahul Jagwani,1.01,-,25.79,-,0.55,6,PGIM India Mutual Fund,0,Other,FoFs Overseas,-7.9,18.9,14.1,20,402,589,117,407,787,407,105,78
PGIM India Gilt Fund,1000,5000,0.39,135,10,Puneet Pal,0.74,0.65,2.16,0.47,0.54,3,PGIM India Mutual Fund,3,Debt,Gilt Mutual Funds,4.2,5.3,7,383,130,190,85,222,197,64,104,530
PGIM India Hybrid Equity Fund,1000,5000,0.68,217,10,Vivek Sharma,2.6,2.02,12.12,0.78,1.35,6,PGIM India Mutual Fund,2,Hybrid,Aggressive Hybrid Mutual Funds,4,20.6,9,362,426,329,333,406,392,266,434,366
PGIM India Large Cap Fund,1000,5000,0.98,427,10,Srinivas Rao Ravuri,2.87,-0.62,15.14,0.89,1.28,6,PGIM India Mutual Fund,2,Equity,Large Cap Mutual Funds,4.7,24.1,10.9,436,483,408,394,106,476,432,374,230
PGIM India Liquid Fund,1000,100,0.17,809,10,Puneet Pal,4.88,1.42,0.38,0.76,1.07,2,PGIM India Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.4,595,57,63,770,337,40,246,273,736
PGIM India Low Duration Fund,1000,5000,0.35,97,10,Puneet Pal,0.05,0.46,1.43,0.27,0.07,2,PGIM India Mutual Fund,1,Debt,Low Duration Funds,5.5,4.3,2,575,45,7,24,181,141,23,34,570
PGIM India Midcap Opportunities Fund,1000,5000,0.46,7707,9,Aniruddha Naha,4.61,6.9,18.52,0.97,1.92,6,PGIM India Mutual Fund,5,Equity,Mid Cap Mutual Funds,2,42.9,19,234,770,633,758,686,713,577,741,489
PGIM India Money Market Fund,1000,5000,0.15,235,3,Puneet Pal,5.23,2.48,0.5,1.14,1.92,2,PGIM India Mutual Fund,4,Debt,Money Market Funds,5.7,5.1,,631,112,407,775,453,67,684,741,751
PGIM India Overnight Fund,1000,100,0.12,75,4,Puneet Pal,0.95,0.67,0.33,0.46,0.16,1,PGIM India Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,,540,13,407,105,227,2,61,42,772
PGIM India Short Duration Fund,1000,5000,0.5,29,10,Puneet Pal,2.05,3.73,1.49,1.62,1.04,2,PGIM India Mutual Fund,3,Debt,Short Duration Funds,4.5,6.3,4.6,418,203,24,231,569,143,737,263,472
PGIM India Ultra Short Duration Fund,1000,25000,0.25,405,10,Puneet Pal,4.43,2.45,0.53,1.08,1.9,2,PGIM India Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,7.3,575,124,219,743,448,72,673,735,665
Quant Absolute Fund,1000,5000,0.56,1013,10,Sanjeev Sharma,3.75,16.98,14.41,0.73,2.12,6,Quant Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,7.3,38.2,19.1,710,752,634,657,767,441,216,778,445
Quant Active Fund,1000,5000,0.58,3531,10,Sanjeev Sharma,3.33,13.82,19.65,0.97,1.87,6,Quant Mutual Fund,0,Equity,Multi Cap Funds,1,45.5,19.9,177,785,638,533,760,743,577,724,428
Quant Flexi Cap Fund,1000,5000,0.58,1044,10,Vasav Sahgal,3.65,15.93,19.16,0.91,1.94,6,Quant Mutual Fund,5,Equity,Flexi Cap Funds,6.8,47.7,18.2,701,788,632,633,765,733,472,749,428
Quant Focused Fund,1000,5000,0.57,219,10,Sanjeev Sharma,3.14,8.6,17.34,0.85,1.61,6,Quant Mutual Fund,5,Equity,Focused Funds,5.2,33.7,13.1,496,708,538,475,714,666,364,631,437
Quant Infrastructure Fund,1000,5000,0.64,822,10,Vasav Sahgal,3.44,27.24,19.24,0.53,2.3,6,Quant Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.6,61.5,21.1,595,792,641,574,772,737,86,788,389
Quant Large and Mid Cap Fund,1000,5000,0.56,652,10,Sanjeev Sharma,3.12,6.57,17.72,0.88,1.51,6,Quant Mutual Fund,5,Equity,Large & Mid Cap Funds,6.9,33,14.2,705,695,590,465,680,681,417,561,445
Quant Liquid Plan – Direct Growth,1000,5000,0.29,1561,10,Sanjeev Sharma,8.6,1.58,0.27,0.47,3.52,2,Quant Mutual Fund,5,Debt,Liquid Mutual Funds,5.6,4.9,5.9,595,95,98,790,355,1,64,791,628
Quant Mid Cap Fund,1000,5000,0.63,1550,10,Sanjeev Sharma,3.58,11.21,18.73,0.86,1.95,6,Quant Mutual Fund,5,Equity,Mid Cap Mutual Funds,8.8,45.1,19.8,739,783,637,622,749,721,385,753,396
Quant Multi Asset Fund,1000,5000,0.56,634,10,Vasav Sahgal,3.23,19.52,18.63,0.75,1.79,6,Quant Mutual Fund,5,Hybrid,Multi Asset Allocation Mutual Funds,10.6,42.6,20.5,755,768,639,494,770,716,236,699,445
Quant Small Cap Fund,1000,5000,0.64,3301,10,Sanjeev Sharma,3.71,19.16,24.75,0.99,2.11,6,Quant Mutual Fund,5,Equity,Small Cap Mutual Funds,5.4,71.4,23.2,540,793,647,643,769,782,610,775,389
Quant Tax Plan- Direct Growth,500,500,0.57,2779,10,Vasav Sahgal,3.5,17.63,19.74,0.96,2.03,6,Quant Mutual Fund,5,Equity,ELSS Mutual Funds,0.9,54.9,22.2,164,791,646,601,768,745,562,765,437
Quantum Dynamic Bond Fund,500,500,0.61,85,8,Pankaj Pathak,1.05,0.93,1.77,0.83,0.66,3,Quantum Mutual Fund,3,Debt,Dynamic Bond,5.4,5.9,6.9,540,169,179,120,260,171,332,125,408
Quantum Equity Fund,500,500,0.51,88,14,Chirag Mehta,3.01,-0.78,14.75,0.86,1.32,6,Quantum Mutual Fund,2,Other,FoFs Domestic,-0.5,22.9,9.1,115,468,332,431,95,456,385,418,464
Quantum Gold Savings Fund,500,500,0.06,83,12,Chirag Mehta,0.98,-0.98,13.78,0.99,0.44,5,Quantum Mutual Fund,1,Other,FoFs Domestic,14.3,11.7,13,791,308,534,108,83,424,610,80,806
Quantum Liquid Fund,500,5000,0.15,628,17,Pankaj Pathak,0.92,0.94,0.36,0.65,0.19,1,Quantum Mutual Fund,2,Debt,Liquid Mutual Funds,5.4,4,4.9,540,35,34,101,263,29,167,45,751
Quantum Long Term Equity Value Fund,500,500,1.29,837,17,George Thomas,3,2.04,15.72,0.9,1.42,6,Quantum Mutual Fund,2,Equity,Value Funds,2.4,26.5,8.8,258,574,312,428,407,518,452,496,108
Quantum Multi Asset Fund,500,500,0.1,49,11,Chirag Mehta,3.12,0.61,6.73,0.42,1.24,4,Quantum Mutual Fund,3,Other,FoFs Domestic,5.5,12.4,8.1,575,326,284,465,211,324,33,345,778
Quantum Tax Saving Fund,500,500,1.29,115,14,Christy Mathai,3.04,1.68,15.47,0.88,1.44,6,Quantum Mutual Fund,3,Equity,ELSS Mutual Funds,2.9,26.6,8.9,281,578,321,437,365,496,417,513,108
SBI Arbitrage Opportunities Fund,500,5000,0.36,8800,10,Neeraj Kumar,0.93,1.18,0.76,0.45,0.77,1,SBI Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.8,4.5,5.4,656,70,63,103,291,115,54,147,560
SBI Banking & Financial Services Fund,500,5000,0.78,3747,8,Milind Agrawal,1.98,0.4,22.28,0.85,0.95,6,SBI Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.5,22.4,12.5,575,455,504,225,175,768,364,210,315
SBI Banking and PSU Fund,500,5000,0.35,4982,10,Rajeev Radhakrishnan,1.17,4.72,2.06,2.4,0.73,3,SBI Mutual Fund,2,Debt,Banking and PSU Mutual Funds,3.8,6.2,7,344,193,190,134,615,193,759,138,570
SBI BlueChip Fund,500,5000,0.9,33987,10,Sohini Andani,3.98,1.08,16.39,0.96,1.39,6,SBI Mutual Fund,3,Equity,Large Cap Mutual Funds,4.2,27,11.4,383,589,437,685,278,586,562,462,267
SBI Conservative Hybrid Fund,500,5000,0.57,7250,10,Saurabh Pant,4.24,5.19,4.11,0.56,2.23,5,SBI Mutual Fund,4,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8,678,342,312,727,647,283,106,785,437
SBI Consumption Opportunities Fund,500,5000,1.18,1185,10,Saurabh Pant,3.65,10.04,15.53,0.76,1.77,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.1,31,12.7,761,665,515,633,737,503,246,690,151
SBI Contra Fund,500,5000,0.91,8340,10,Dinesh Balachandran,4.43,15.26,16.56,0.89,2.13,6,SBI Mutual Fund,5,Equity,Contra Funds,15,43.4,15.6,797,773,619,743,763,603,432,780,260
SBI Corporate Bond Fund,500,5000,0.34,16551,4,Rajeev Radhakrishnan,1.54,1.51,1.88,0.75,0.92,2,SBI Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.1,6.4,,372,207,407,161,351,182,236,193,580
SBI Credit Risk Fund,500,10000,0.92,2782,10,Lokesh Mallya,2.05,2.96,1.82,0.17,1.5,5,SBI Mutual Fund,3,Debt,Credit Risk Funds,5.2,7.2,7,496,258,190,231,514,176,20,556,257
SBI Dynamic Bond Fund,500,5000,0.87,2407,10,Dinesh Ahuja,0.88,1.34,2.49,1.06,0.66,3,SBI Mutual Fund,4,Debt,Dynamic Bond,5.9,5.9,7.9,667,169,269,95,317,222,668,125,280
SBI Equity Hybrid Fund,500,1000,0.79,54492,10,R Srinivasan,2.77,0.1,11.8,0.79,1.25,6,SBI Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,-1.9,18.4,10.8,75,396,406,373,150,384,281,350,311
SBI Equity Minimum Variance – Direct Growth,500,5000,0.42,134,4,Raviprakash Sharma,3.09,2.72,14.84,0.81,1.47,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,4.9,27,,457,589,407,456,492,462,309,533,511
SBI Equity Savings Fund,500,1000,0.67,2264,8,Neeraj Kumar,3.49,2.91,6.94,1.02,1.47,4,SBI Mutual Fund,3,Hybrid,Equity Savings Mutual Funds,2.2,14.6,8.1,244,352,284,598,508,327,653,533,372
SBI Flexi Cap Fund,500,1000,0.85,15602,10,R Srinivasan,3.25,0.62,15.31,0.88,1.4,6,SBI Mutual Fund,3,Equity,Flexi Cap Funds,-1,25.2,11,96,522,417,505,215,485,417,475,290
SBI Floating Rate Debt Fund,500,5000,0.26,1604,2,Rajeev Radhakrishnan,-,-,-,-,-,2,SBI Mutual Fund,3,Debt,Floater Mutual Funds,5,,,470,407,407,407,407,407,407,407,655
SBI FMP – Series 1 (3668 Days) – Direct Growth,0,5000,0,40,4,Ranjana Gupta,1,9.3,3.62,5.09,0.69,3,SBI Mutual Fund,0,Debt,Fixed Maturity Plans,4.8,6.2,,446,193,407,115,722,271,771,131,813
SBI Focused Equity Fund,500,5000,0.69,26561,10,R Srinivasan,2.61,-0.62,15.84,0.81,1.17,6,SBI Mutual Fund,3,Equity,Focused Funds,-4.9,22,12.2,38,447,485,338,106,527,309,316,359
SBI Gold Fund,500,5000,0.1,1265,10,Raviprakash Sharma,0.95,-0.94,13.62,0.98,0.44,6,SBI Mutual Fund,3,Other,FoFs Domestic,14.8,11.9,13.4,796,313,563,105,85,418,591,80,778
SBI Healthcare Opportunities Fund,500,5000,1.09,1574,10,Tanmaya Desai,2.12,4.45,19.03,0.87,1.09,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-1.6,25.7,13.6,84,542,570,241,600,727,400,282,176
SBI Infrastructure Fund,500,5000,1.88,927,10,Bhavin Vithiani,4,10.52,16.14,0.57,1.79,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,12.8,33.5,13,778,703,534,690,743,559,114,699,11
SBI Large & Midcap Fund,500,5000,0.99,9441,10,Saurabh Pant,3.24,6.49,16.04,0.89,1.67,6,SBI Mutual Fund,5,Equity,Large & Mid Cap Funds,6.5,30.2,13.6,689,651,570,497,676,550,432,652,226
SBI Liquid Fund,500,500,0.18,57052,10,R Arun,4.07,1.35,0.38,0.76,0.88,2,SBI Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,595,45,45,700,322,40,246,176,728
SBI Long Term Advantage Fund,0,500,1.75,164,6,R Srinivasan,3.93,12.2,18.27,0.87,1.79,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,0.1,43.3,19.5,131,772,636,677,753,707,400,699,30
SBI Long Term Advantage Fund,0,500,1.76,57,7,R Srinivasan,3.71,10.16,15.74,0.83,1.9,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,1.1,36.2,15.4,183,739,616,643,738,520,332,735,21
SBI Long Term Advantage Fund,0,500,1.76,30,8,R Srinivasan,3.76,9.72,15.74,0.83,1.85,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,0.5,35.5,14.5,144,732,596,659,729,520,332,713,21
SBI Long Term Advantage Fund,0,500,1.76,36,8,R Srinivasan,3.69,10.17,15.98,0.84,1.87,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,1,36.4,14,177,740,582,639,739,542,348,724,21
SBI Long Term Advantage Fund,0,500,1.76,222,5,R Srinivasan,3.73,4.52,15.18,0.84,1.61,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,4.5,28.2,,418,616,407,649,605,480,348,631,21
SBI Long Term Advantage Fund,0,500,1.76,278,5,R Srinivasan,3.18,-0.17,15.54,0.88,1.32,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,-2.7,25.1,,62,517,407,480,136,504,417,418,21
SBI Long Term Equity Fund,500,500,1.07,12158,10,Dinesh Balachandran,3.21,3.78,15.64,0.9,1.59,6,SBI Mutual Fund,3,Equity,ELSS Mutual Funds,8.7,30.1,11.6,736,650,449,487,573,509,452,618,185
SBI Magnum Children’s Benefit Fund,500,5000,0.86,89,10,Rajeev Radhakrishnan,3.92,6.29,6.03,0.57,1.72,4,SBI Mutual Fund,4,Solution Oriented,Childrens Funds,3.1,15.2,8.3,295,359,293,676,668,314,114,669,284
SBI Magnum Comma Fund,500,5000,2.03,417,10,Richard Dsouza,2.37,1.41,21.13,1.06,1.24,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-12.1,30.9,11.3,7,662,428,287,332,762,668,345,6
SBI Magnum Equity ESG Fund,500,1000,1.35,4456,10,Rohit Shimpi,2.88,-0.26,15.89,0.92,1.29,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-2.7,24.2,12.2,62,487,485,398,127,534,492,384,93
SBI Magnum Gilt Fund,500,5000,0.46,4301,10,Dinesh Ahuja,1.1,1.45,2.66,0.53,0.77,3,SBI Mutual Fund,5,Debt,Gilt Mutual Funds,5.7,6.1,8.3,631,187,293,127,344,232,86,147,489
SBI Magnum Global Fund,500,5000,1.25,5257,10,R Srinivasan,2.42,3.66,13.28,0.64,1.42,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,1.6,24.1,11.5,207,483,442,301,564,412,157,496,123
SBI Magnum Income Fund,500,5000,0.8,1510,10,Dinesh Ahuja,1.56,1.92,2.35,1.04,0.94,4,SBI Mutual Fund,4,Debt,Medium to Long Duration Funds,4.8,6.9,7.8,446,239,264,163,396,213,662,205,307
SBI Magnum Low Duration Fund,500,5000,0.4,7717,10,Rajeev Radhakrishnan,3.47,3.11,0.8,1.37,1.58,3,SBI Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,6.4,496,147,136,589,533,120,722,609,519
SBI Magnum Medium Duration Fund,500,5000,0.69,7087,10,Dinesh Ahuja,2.05,2.34,2.19,0.87,1.18,4,SBI Mutual Fund,4,Debt,Medium Duration Funds,4.6,7.2,7.9,428,258,269,231,437,200,400,318,359
SBI Magnum Midcap Fund,500,5000,0.97,8732,10,Sohini Andani,3.93,5.5,17.15,0.91,1.89,6,SBI Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.4,37,13.5,686,744,566,677,654,659,472,733,234
SBI Magnum Ultra Short Duration Fund,2000,5000,0.31,8907,10,R Arun,3.14,2.47,0.58,1.2,1.49,2,SBI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.2,5.1,6.1,496,112,112,475,452,79,696,552,609
SBI Multi Asset Allocation Fund,500,5000,0.88,609,10,Dinesh Balachandran,2.98,2.18,8.2,0.48,1.35,6,SBI Mutual Fund,3,Hybrid,Multi Asset Allocation Mutual Funds,5.9,16.1,9.6,667,365,357,420,426,338,75,434,274
SBI Nifty Index Fund,500,5000,0.18,3324,10,Raviprakash Sharma,3.47,-0.69,16.8,1,1.31,6,SBI Mutual Fund,3,Other,Index Funds,0.9,26,11.8,164,554,459,589,102,633,632,406,728
SBI Overnight Fund,2000,5000,0.1,19888,10,R Arun,-0.25,0.56,0.35,0.43,-0.05,1,SBI Mutual Fund,2,Debt,Overnight Mutual Funds,5.3,3.9,4.6,520,13,24,15,200,15,42,15,778
SBI PSU Fund,500,5000,1.42,505,10,Richard Dsouza,2.32,-0.18,19.98,0.78,1.1,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16,26.3,7.4,800,568,230,279,134,748,266,287,84
SBI Savings Fund,500,500,0.23,19441,10,R Arun,4.1,2.73,0.59,1.19,1.93,3,SBI Mutual Fund,3,Debt,Money Market Funds,5.5,5.3,6.2,575,130,122,704,493,81,693,745,681
SBI Short Term Debt Fund,500,5000,0.35,13289,10,Rajeev Radhakrishnan,1.57,5,1.7,2.44,1.02,2,SBI Mutual Fund,3,Debt,Short Duration Funds,4.6,6.4,6.8,428,207,171,166,641,159,761,250,570
SBI Small Cap Fund,500,5000,0.7,15395,10,R Srinivasan,4.07,6.48,16.81,0.75,1.88,6,SBI Mutual Fund,4,Equity,Small Cap Mutual Funds,8.2,38.3,15.3,728,753,613,700,675,637,236,727,353
SBI Tax Advantage Fund,0,500,1.76,28,9,R Srinivasan,4.1,9.96,16.07,0.84,1.85,4,SBI Mutual Fund,0,Equity,ELSS Mutual Funds,1.9,41.1,21.8,232,761,644,704,734,552,348,713,21
SBI Technology Opportunities Fund,500,5000,0.87,2861,10,Saurabh Pant,2.36,8.38,19.71,0.77,1.51,6,SBI Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-8.7,37.1,21,17,745,640,285,707,744,256,561,280
Shriram Balanced Advantage Fund,1000,5000,0.6,48,4,Deepak Ramaraju,2.42,-0.22,7.82,0.53,1.22,6,Shriram Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,13.9,,281,343,407,301,131,335,86,337,413
Shriram Flexi Cap Fund,1000,5000,0.65,60,4,Deepak Ramaraju,2.74,-2.52,14.68,0.85,1.19,6,Shriram Mutual Fund,2,Equity,Flexi Cap Funds,1.4,21.5,,198,433,407,366,40,452,364,324,383
Shriram Hybrid Equity Fund,1000,5000,0.65,56,9,Deepak Ramaraju,2.79,-1.5,11.64,0.81,1.16,6,Shriram Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,0.7,17.7,8.9,155,382,321,379,62,378,309,313,383
Shriram Long Term Equity Fund,500,500,0.6,36,4,Deepak Ramaraju,2.37,-3.01,14.39,0.83,1.14,6,Shriram Mutual Fund,3,Equity,ELSS Mutual Funds,0.8,20.1,,159,415,407,287,33,440,332,302,413
Sundaram Aggressive Hybrid Fund,100,100,0.67,2981,10,S Bharath,4.11,2.31,11.63,0.8,1.46,5,Sundaram Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.2,21.7,9.7,184,435,358,707,435,377,294,524,372
Sundaram Arbitrage Fund,500,100,0.28,108,7,Rohit Seksaria,0.48,0.75,0.7,0.39,0.33,2,Sundaram Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.3,3.3,2.8,520,1,8,57,238,98,29,57,638
